product_id,product_name,product_type,interest_rate,fees,description
1,When Account,checking,9.68,2.21,Goal amount when rest story ago start born staff.
2,Number Account,credit,1.66,5.1,Collection lawyer sign move evening above ready stuff information worker too defense.
3,Others Account,credit,11.8,6.13,Cost cause seven too to carry Mrs describe west American risk.
4,System Account,credit,11.15,18.72,Better American forget step use though room protect big.
5,System Account,savings,11.38,29.78,Base service impact wait within exist course wide window.
6,Hot Account,credit,4.55,38.21,Natural finish prove take radio outside seven form.
7,Skill Account,loan,13.55,45.58,All cut join little network perform avoid career.
8,Four Account,checking,9.61,27.35,Project baby herself adult task laugh moment.
9,Start Account,credit,1.17,29.29,Town president five second item into.
10,How Account,savings,12.14,33.41,Figure admit hope plan guess traditional worker.
11,West Account,credit,3.21,31.88,Alone get finally a many subject.
12,Game Account,credit,13.56,49.26,Want day wonder year your benefit series through create return.
13,In Account,loan,7.47,15.89,Early whom a whole maintain item necessary traditional follow.
14,Suffer Account,credit,6.98,39.2,Upon interesting car side control sister prepare travel that beat.
15,Guess Account,checking,9.38,5.23,Thing since everything box meet they daughter program concern instead require finish answer.
16,Everything Account,credit,5.99,44.9,Interview indeed buy raise method begin assume sense stand national somebody study.
17,Improve Account,loan,6.87,13.52,Heart sound near thing democratic only.
18,How Account,loan,7.25,49.5,Number push local deal woman none even very traditional foot measure coach.
19,Participant Account,checking,9.85,4.55,Blue film relationship near daughter trade will food.
20,Simple Account,credit,2.95,7.27,Set hot physical speech discussion away message statement.
